"I can't breathe I have a lot of pain in my chest and I am going to pass out from the pain.",HIGH
"Car crash the car has been turned over and there is one peson inside.",HIGH
"My son fell down the stairs and has broken his arm and his unconscious.",MEDIUM
"We are lost but have food and water for 3 days.",MEDIUM
"I have dislocated my knee I cannot move.",LOW
"I have third degree burns from a kitchen fire.",HIGH
"My car has stopped in the middle of the road I need car service.",LOW
"There is someone following me I am in a dark alleway near King and John.",HIGH
"There are two men in my house I don't know if they have a weapon.",HIGH
"I have a gunshot wound in my upper chest.",HIGH
"I've stubbed my toe.",LOW
"I fainted and have lost my speech I may have suffered a stroke.",HIGH
"My kid just ate 10 pounds of chocolate.",LOW
"The women next door raped me.",HIGH
"A man has been following me for the last 20 minutes.",HIGH
"I am getting a weird smell in my apartment.",LOW
"My house smells like a gas leakage.",HIGH
"Three of my friends are passed out with foam coming out of their mouths.",HIGH
"There are two rodents in my house.",LOW
"There is a bear in my house.",HIGH
"My friend is having a peanut allergy reaction and is growing red.",MEDIUM
"I have a very bad sun burn.",LOW
"I have cut my finger off and its bleeding profusely.",MEDIUM
"I have been hit by a car but I am completely stable and able to walk and talk.",MEDIUM
"The person just told me about someone he murdered.",MEDIUM
"I need to report a missing person who has been missing for 48hours.",MEDIUM
"Car ON567832 looked like it has a drunk driver behind the wheel.",HIGH
"I think I have overdosed on magic mushrooms and I see dragons.",LOW
"A plane just crashed in the field next to my house.",HIGH
"There is a random smell in my house.",LOW
"My best friend and I has a fight.",LOW
"My company just lost its entire market share I think I might commit suicide.",MEDIUM
"my brother stole my chocolate.",LOW
"there is a gun hold up in the bank I am at.",HIGH
"four robbers left this bank taking 20 million in cash.",HIGH
"My dog got run over by a black car.",LOW
"There is a dead body at the bottom of this creek.",MEDIUM
"Can you help me with my homework.",LOW
"I am having a sugar rush.",LOW
"I am going through food poisoning and cannot stand.",MEDIUM
"A dragon is breathing into my face.",LOW
"Harry Potter is real.",LOW
"There is a gang war happening down the road.",HIGH
"My brother wants to kill me.",HIGH
"I think my child has had rat poision.",HIGH
"I don't want to do my homework.",LOW
"I have a deep cut that's bleeding profusely.",HIGH
"A car tried to run me over, the plate is M45878G.",MEDIUM
"I have eaten too much food and  I am in a food coma.",LOW
"What is the problem with my phone.",LOW
"My nail broke.",LOW
"I see shapes and I am hallucinating.",LOW
"I am driving and I can see shapes I shouldn't be driving.",HIGH
"The world is spinning on its head.",LOW
"I have been shot.",HIGH
"I have cut my arm open.", MEDIUM
"I broke my left wrist.",MEDIUM
"I can't breathe.",HIGH
"I want to kill everyone.",HIGH
"I see someone trying to drug someone.","HIGH"
"I am bored", LOW
"How are you doing", LOW
"My cat climbed up the tree and can not get down", LOW
"I am thinking of hurting myself", MEDIUM
"I will jump off the roof right now", HIGH
"The elecricity has gone out. It is dark and I do not have warm water", LOW
"My neighbours are having a party. They are very loud", LOW
"Everyone is very noisy", LOW
"My sister went missing", LOW
"An armed person is in the building", HIGH
"My code at the connected labs hackathon is not compiling"
"There was a car crash.", MEDIUM
"many people are injured", HIGH
"Someone broke into my apartment and stole everything", LOW
"There was a breakin at my house", LOW
